Rodent_Pred	Forest cover 1500m	Forest cover 100m	Forest cover 500m	Frag_Area	EuDistMatrix	Edge_Dist	D.A.P.	N.Fruits
1001	0.0689821037	0.0421773038	0.0525913664	0.64	29.68	0	25.7831007809	2229
2	0.0293272972	0.0374343466	0.0671081115	3.07	29.29	2	26.1014106671	564
13	0.0293272972	0.0374343466	0.0671081115	3.07	29.29	9	16.3929591385	128
1	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	15	23.3957766345	2533
0	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	828	18.4619733987	925
0	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	560	20.0535228296	111
0	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	560	23.2366216914	690
3	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	590	20.6901426019	1426
0	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	675	19.7352129434	1782
0	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	780	21.6450722605	920
0	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	170	22.2816920329	335
0	0.7150597722	0.9385007162	0.9988539412	3440.82	402.19	590	19.2577481141	59
