Individuo	Fogo	AreaBasal	Altura
502	1	1.9792033718	130
503	1	0.3534291735	53
504	1	6.2517693806	115
505	1	1.523672437	95
506	1	0.9896016859	70
507	1	2.3090706004	160
508	1	3.4636059006	125
509	1	3.432189974	94
510	1	2.3797564351	130
511	1	6.8565259665	130
512	1	4.3432518436	58
513	1	0.1256637061	19
514	1	1.9713493901	95
515	1	2.1127210595	78
516	1	2.4661502331	57
517	1	9.7153752812	135
518	1	4.6417031457	140
519	1	9.1970124934	160
520	1	3.6521014598	145
521	1	0.6047565858	48
522	1	2.4661502331	110
523	1	0.408407045	81
524	1	1.3901547492	59
525	1	0.5733406593	17
526	1	0.9110618695	50
527	1	2.874557278	103
528	1	0.2984513021	35
529	1	2.5446900494	77
530	1	3.7227872945	78
531	1	2.3640484718	165
532	1	32.0206831217	240
533	1	1.7043140146	58
534	1	0.1963495408	35
535	1	1.6179202166	112
536	1	3.2908183046	112
537	1	0.5654866776	39
538	1	2.9216811678	170
538	1	0.1335176878	32
539	1	0.3141592654	29
540	1	0.6754424205	75
541	1	0.1413716694	43
542	1	0.0471238898	15
543	1	0.0706858347	13
544	1	2.0341812432	102
546	1	0.2277654674	60
547	1	0.8011061267	52
548	1	3.3457961761	160
549	1	0.8482300165	100
550	1	1.1702432635	62
551	1	1.4215706757	103
552	1	1.20165919	110
553	1	40.4715673599	250
554	1	0.644026494	87
555	1	0.9974556675	75
557	1	0.9974556675	75
558	1	3.133738672	95
559	1	0.2277654674	45
560	1	0.2591813939	27
561	1	0.1335176878	20
562	1	3.1887165434	101
563	1	2.5132741229	90
564	1	0.9896016859	67
565	1	0.408407045	50
566	1	0.1256637061	53
567	1	1.6493361431	96
568	1	2.6860617188	117
569	1	0.1963495408	50
571	1	0.793252145	59
572	1	1.7121679962	77
573	NaN	0.0706858347	28
574	1	0.6675884389	80
575	1	0.8168140899	41
576	1	4.5867252742	160
577	1	0.1021017612	50
578	1	0.5811946409	62
579	0	2.0106192983	103
580	0	25.1641571553	260
581	1	0.1963495408	0
582	1	0.6911503838	45
583	1	1.845685684	104
584	1	0.322013247	48
585	1	0.322013247	48
586	1	0.1963495408	34
587	1	0.2277654674	73
588	1	0.3848451001	65
589	1	12.5271007062	105
590	1	0.5497787144	67
591	1	0.2513274123	51
592	1	0.0706858347	29
593	1	0.5733406593	75
594	1	0.9189158512	100
595	1	1.5707963268	110
596	1	0.1256637061	35
597	1	0.9896016859	53
598	1	2.0498892065	111
599	0	7.6262161666	170
600	0	2.8352873699	170
601	0	4.9087385212	130
602	1	0.0314159265	14
603	1	1.5865042901	97
604	1	9.0792027689	280
605	1	0.0706858347	12
606	1	0.2670353756	23
607	1	0.9503317777	49
608	1	0.6283185307	90
609	1	0.0314159265	13
610	1	5.4428092723	135
611	0	0.6361725124	31
612	1	2.552544031	18
613	1	0.3534291735	19
614	1	0.0942477796	18
615	1	24.9520996511	300
616	1	0.5969026042	42
617	1	0.1256637061	23
618	1	0.5340707511	38
619	1	0.9503317777	92
620	1	0.6832964022	52
621	1	0.1963495408	62
622	1	0.7775441818	54
623	1	2.4190263433	93
624	1	0.322013247	28
625	1	2.9688050576	131
626	1	0.1570796327	25
627	1	2.0420352248	85
628	0	2.2698006922	143
629	1	0.3534291735	34
630	0	1.6336281799	55
631	0	3.9741147068	76
632	1	6.9664817093	103
633	1	2.8352873699	50
634	1	4.5945792559	103
635	1	16.82322866	134
636	0	2.3954643984	48
637	1	4.4767695314	144
638	1	0.2827433388	33
639	0	0.1963495408	70
640	0	5.0658181539	113
641	1	2.6467918106	87
642	0	3.2201324699	64
643	0	2.2776546739	88
644	1	2.4740042147	97
645	0	2.4582962514	74
646	1	0.2827433388	31
647	1	3.1415926536	160
648	0	4.5238934212	72
649	1	8.5294240545	134
651	1	57.3811898178	180
652	1	3.369358121	106
653	1	3.8091810925	120
654	1	5.835508354	140
655	1	2.1441369861	81
656	1	2.0891591146	115
657	1	0.6518804756	44
658	1	0.0706858347	8
659	1	0.3534291735	51
660	1	0.4241150082	42
661	1	0.4398229715	29
662	1	2.2619467106	69
663	1	0.5026548246	100
664	0	4.5238934212	170
665	1	4.8459066682	133
666	1	0.1963495408	41
667	1	1.1545353002	58
668	1	0.9581857593	87
669	1	1.6257741982	28
670	1	1.5472343819	91
671	1	0.8168140899	70
672	1	4.4060836967	85
673	0	0.1963495408	57
674	1	0.3534291735	35
675	1	0.2513274123	31
677	1	0.1256637061	26
678	NaN	0.1256637061	51
679	NaN	0.0706858347	20
680	0	0.7853981634	58
681	1	0.0706858347	25
682	1	0.0706858347	25
683	NaN	0.0706858347	15
684	0	47.9171419489	280
685	NaN	0.1963495408	62
686	NaN	0.1963495408	30
687	0	34.7538687303	280
1027	NaN	0.0706858347	16
1028	NaN	0.0706858347	24
688	0	34.9580722528	250
689	NaN	0.0706858347	13
690	1	13.2025431267	180
691	1	0.408407045	28
692	1	0.1256637061	35
693	1	0.0314159265	12
694	1	0.0706858347	14
695	1	0.0314159265	5
696	1	0.0392699082	5
697	1	0.0314159265	10
698	1	0.1963495408	18
699	1	42.0737796132	280
700	1	0.0314159265	10
701	1	0.1963495408	26
702	1	3.1887165434	147
703	1	2.8667032964	112
704	1	0.1256637061	21
705	1	5.5056411254	120
706	1	79.0581791276	280
707	1	2.2226768024	41
708	1	3.7149333129	118
709	1	0.8482300165	85
710	1	2.1441369861	82
711	1	1.2959069696	87
712	1	4.1390483211	145
713	1	1.3744467859	62
714	1	0.7147123287	79
715	1	1.2801990063	56
716	1	1.1780972451	51
719	1	4.6181412008	135
720	1	0.1413716694	31
721	1	0.1256637061	67
722	1	4.6888270355	84
723	1	0.8482300165	81
725	1	0.4319689899	35
728	1	11.6396007816	108
729	1	1.2959069696	88
730	1	0.9032078879	65
731	1	4.9008845396	117
732	1	0.1963495408	48
733	1	8.6707957239	147
734	1	0.5105088062	59
735	1	0.9189158512	60
736	1	1.3587388227	90
737	1	0.4241150082	50
738	1	0.3926990817	48
739	1	1.6336281799	42
741	1	2.5211281045	82
742	1	1.5629423452	87
743	1	0.6754424205	55
744	1	0.7775441818	54
745	1	0.8403760348	88
746	1	2.9216811678	160
747	1	1.115265392	92
748	1	1.7278759595	94
749	1	1.610066235	60
750	1	0.9974556675	66
751	1	0.408407045	60
752	1	0.322013247	32
753	1	5.4663712172	160
754	1	0.6047565858	46
755	1	7.1314153236	160
756	1	0.3926990817	53
758	1	1.4215706757	62
759	1	1.2252211349	69
760	1	0.322013247	25
761	1	0.1256637061	26
761	1	0.1963495408	23
762	1	0.1256637061	47
763	1	0.1335176878	32
764	1	1.5393804003	90
765	1	0.1256637061	55
766	1	0.3848451001	63
767	1	0.0392699082	9
768	0	1.7671458676	52
769	1	2.2698006922	70
770	1	0.2277654674	44
771	1	0.2277654674	29
772	0	1.9634954085	68
773	1	0.1963495408	46
774	1	0.1963495408	66
775	1	0.2827433388	50
776	1	2.2148228208	50
777	1	0.1256637061	5
778	0	21.3628300444	240
779	1	3.0316369107	51
781	1	0.1963495408	26
782	1	0.1256637061	30
783	NaN	0.0314159265	7
784	0	8.0581851565	106
785	1	0.1963495408	62
786	0	3.926990817	112
788	1	0.6754424205	55
789	1	0.1256637061	51
790	1	9.2834062914	123
791	1	0.7147123287	61
792	1	2.2069688391	82
793	0	0.7853981634	83
794	1	0.8325220532	47
795	0	0.7853981634	46
797	1	0.9817477042	43
798	1	0.1256637061	53
799	1	0.0314159265	19
800	1	0.7853981634	61
801	0	0.9503317777	86
802	0	27.378979976	280
803	1	0.1256637061	39
804	1	3.0944687638	67
805	1	0.0314159265	11
806	1	0.1963495408	67
807	1	2.9452431127	92
809	1	0.0706858347	39
810	0	23.5069670305	250
811	0	4.2332961007	100
812	1	11.2390477182	220
813	1	7.8696895972	170
815	0	21.6455733832	215
816	0	0.9189158512	39
817	0	2.5446900494	143
818	1	1.5393804003	73
819	0	1.7671458676	20
820	1	0.1570796327	12
821	1	0.7696902001	42
823	1	0.0157079633	3
824	1	0.1099557429	15
825	1	0.4790928797	71
826	1	0.2984513021	43
827	1	5.3092915846	125
828	1	0.1963495408	47
829	1	0.1256637061	34
830	0	2.5446900494	143
831	1	1.5393804003	73
832	1	1.7671458676	38
833	0	1.7671458676	20
834	1	1.5393804003	35
835	1	0.1570796327	12
836	1	0.7696902001	42
837	1	3.1415926536	105
838	1	0.0157079633	3
839	1	0.1099557429	15
840	1	0.4790928797	71
841	1	0.2984513021	43
842	1	5.3092915846	125
843	1	0.1963495408	47
844	1	0.1256637061	34
845	1	1.8142697574	128
846	1	0.976721156	120
847	1	1.0995574288	110
848	1	0.4241150082	85
849	1	0.9896016859	86
850	1	0.8874999246	85
851	1	1.3665928043	75
852	1	1.4529866023	82
853	1	0.4948008429	82
854	1	0.2277654674	28
855	1	0.2670353756	40
856	1	0.5733406593	82
857	1	0.4162610266	45
858	1	0.1963495408	52
859	1	1.2566370614	105
860	1	1.2409290982	113
861	1	1.3665928043	95
862	1	0.0706858347	25
863	1	0.2513274123	44
864	1	0.6126105675	80
865	1	2.8667032964	90
866	1	0.2277654674	32
867	1	0.2670353756	30
868	1	0.5105088062	61
869	1	22.1246662629	280
870	1	1.8692476289	93
871	1	3.5264377537	160
872	1	1.994911335	132
873	1	2.4740042147	144
874	1	1.2409290982	80
875	1	0.1963495408	20
876	1	0.3926990817	56
878	1	1.0131636308	38
879	1	1.5393804003	100
880	1	1.9163715187	93
882	1	0.9424777961	66
883	1	1.6179202166	101
884	1	0.5183627878	31
885	1	20.341812432	270
886	1	0.1413716694	11
887	1	3.691371368	57
888	0	0.4555309348	53
889	1	1.4922565105	68
890	1	0.7853981634	46
891	1	3.0787608005	73
892	1	0.2670353756	42
893	1	3.1415926536	70
894	1	0.5654866776	25
895	1	0.2042035225	42
896	1	0.1256637061	14
897	1	0.7853981634	56
898	1	1.7671458676	54
899	1	0.3377212103	35
900	1	0.1963495408	32
901	1	0.1256637061	32
902	1	0.0314159265	30
903	0	1.9634954085	55
904	1	1.5393804003	62
905	0	0.2827433388	54
906	0	1.5550883635	66
907	0	0.1256637061	23
908	0	3.4557519189	67
909	1	0.2513274123	53
910	0	1.0210176124	85
911	1	1.932079482	55
912	1	1.932079482	100
913	1	0.8639379797	63
914	1	22.7844007202	280
915	1	0.9503317777	40
916	1	2.8038714433	160
917	1	1.4608405839	90
918	1	0.3848451001	85
919	1	0.5105088062	53
920	1	1.672898088	75
921	1	0.2827433388	52
922	1	0.1963495408	52
923	1	1.2566370614	71
924	1	0.730420292	52
925	1	0.1413716694	26
926	1	0.5811946409	45
927	1	1.2252211349	60
928	1	2.0577431881	107
929	1	1.8064157758	95
930	1	3.6128315516	155
931	1	4.5238934212	128
932	0	20.42820623	200
933	1	5.7255526112	210
934	1	1.3430308594	96
935	1	6.9664817093	170
937	1	2.0655971697	70
938	1	1.0995574288	97
939	1	1.6571901248	110
940	1	1.1780972451	61
941	1	1.3037609512	130
942	1	0.5183627878	71
943	1	0.2670353756	25
944	1	0.0392699082	36
945	1	3.1415926536	100
946	1	0.1256637061	36
947	1	30.190705401	310
949	1	9.6761053731	260
950	1	0.7775441818	87
951	1	0.2277654674	50
952	1	0.9424777961	26
953	1	2.167698931	104
954	1	0.9032078879	65
955	1	0.1256637061	41
956	1	0.3848451001	62
957	1	0.5183627878	48
958	1	0.7853981634	44
959	1	2.3797564351	110
960	1	1.3037609512	115
961	1	0.5026548246	73
962	1	0.8874999246	72
963	1	0.9817477042	55
964	1	1.1859512267	65
965	1	0.7775441818	85
966	1	1.845685684	105
967	1	1.1859512267	65
968	1	0.7775441818	85
969	1	1.845685684	105
970	1	0.2277654674	34
971	1	0.1256637061	23
972	1	1.0288715941	70
973	0	6.4481189215	81
974	1	2.2776546739	70
975	1	0.4476769531	46
976	1	1.0210176124	65
977	1	2.1362830044	110
978	1	1.2644910431	59
979	1	1.4765485472	95
980	1	0.7696902001	40
981	1	0.1963495408	27
982	1	1.9556414269	80
983	1	5.6155968683	160
984	1	0.1963495408	39
985	1	0.6990043654	60
986	1	0.1570796327	80
987	1	9.7389372261	141
988	1	11.458959204	165
989	1	3.5892696067	92
990	1	0.0628318531	7
991	1	3.7463492394	105
992	1	4.893030558	180
993	1	0.2827433388	46
994	1	1.4686945656	72
995	1	3.196570525	121
996	1	4.8144907416	88
997	1	8.5451320178	170
998	1	3.6442474782	110
999	1	2.1127210595	93
1000	1	0.5890486225	87
1001	1	3.1494466352	120
1002	1	0.5733406593	135
1003	1	0.322013247	32
1004	1	0.8874999246	74
1005	1	0.6047565858	58
1006	1	4.1861722109	147
1007	1	6.7936941134	175
1008	1	2.1755529126	46
1009	1	0.5183627878	70
1010	1	0.8874999246	80
1011	1	1.0838494655	60
1012	1	2.7096236637	68
1013	1	1.0917034471	62
1014	1	1.0210176124	60
1016	1	4.1861722109	150
1017	1	4.9165925029	151
1018	1	0.0706858347	27
1019	1	0.5105088062	23
1020	1	0.9974556675	44
1021	1	1.1859512267	77
1022	1	2.1912608759	69
1023	1	1.4215706757	35
1024	1	2.1048670779	88
1025	1	1.5001104921	73
1026	1	0.3141592654	60
