Caule	Fogo	H	DAS
1365	0	120	1.3
1366	1	115	1.2
1367	1	83	1.7
1368	1	115	2.1
1369	1	115	0.8
1370	1	149	2.2
1371	1	96	1.2
1372	1	120	1.3
1373	1	67	0.7
1374	1	114	1.2
1375	1	55	0.7
1376	1	45	0.4
1377	1	79	0.8
1378	1	105	1.1
1379	1	112	1.1
1380	1	136	1.3
1381	1	75	1
1382	1	66	0.5
1383	1	82	0.9
1384	1	117	1.2
1385	1	33	1.5
1386	0	65	2.1
1387	0	105	2.1
1388	1	64	1.4
1389	1	95	2
1390	0	80	1.4
1391	0	55	0.6
1392	1	62	1.9
1393	1	119	2.6
1394	1	50	1.8
1395	1	86	1.3
1396	1	100	3.9
1397	0	100	2
1398	1	150	2.7
1399	1	145	2.8
1400	1	70	0.8
1401	1	70	1.2
1402	0	155	2.6
1403	0	46	1.2
1404	0	55	1.6
1405	1	66	2.1
1406	0	142	2.1
1407	0	94	1.7
1408	0	150	1.9
1409	1	76	0.8
1410	1	113	1.6
1411	0	29	0.6
1412	1	86	1.3
1413	1	71	0.9
1414	1	45	0.4
1415	1	98	1.1
1416	1	83	1
1417	1	31	0.3
1418	1	44	0.4
1419	1	62	0.6
1420	0	59	0.7
1421	0	106	2.6
1422	0	65	1.7
1423	0	67	1.4
1424	1	84	0.7
1425	1	102	1.1
1426	1	53	0.6
1427	1	43	0.6
1428	1	58	0.6
1429	0	66	3.1
1430	0	36	1.2
1431	1	98	1
1432	1	65	1
1433	1	30	1.2
1434	1	64	0.4
1435	1	24	0.9
1436	1	95	1.3
1437	1	15	0.6
1438	1	125	1.6
1439	1	36	0.6
1440	1	85	0.9
1441	1	43	0.9
1442	1	64	1
1443	1	13	0.4
1444	1	19	0.3
1445	1	66	0.5
1446	1	70	1
1447	1	80	0.7
1448	1	75	1.6
1449	1	37	0.5
1450	1	10	0.46
1451	1	73	1.06
1452	1	34	0.55
1453	1	64	0.73
1454	1	85	0.89
1455	1	30	0.54
1456	1	56	0.73
1457	1	26	0.37
1458	1	70	0.83
1459	1	64	1.02
1460	1	84	1.02
1461	1	25	0.35
1462	1	51	0.57
1463	1	51	0.61
1464	1	77	0.98
1465	1	115	1.22
1466	1	70	0.98
1467	1	45	0.72
1468	1	51	0.57
1469	1	28	0.55
1470	1	49	0.53
1471	1	91	0.75
1472	1	82	1.01
1473	1	62	0.77
1474	1	29	0.41
1475	1	21	0.32
1476	1	105	1.13
1477	1	22	0.28
1478	1	74	0.76
1479	1	28	0.28
1480	1	30	0.3
1481	1	29	0.3
1482	1	12	0.2
1483	1	17	0.2
1484	1	39	0.6
1485	1	31	0.4
1486	1	32	0.3
1487	1	35	0.2
1488	1	32	0.3
1489	1	46	0.5
1490	1	43	0.3
1491	1	56	0.6
1492	1	82	0.7
1493	1	85	0.8
1494	1	54	0.6
1495	1	29	0.2
1496	1	60	0.6
1497	1	46	0.4
1498	1	27	0.3
1499	1	16	0.4
1500	1	28	0.4
1501	1	34	0.4
1502	1	12	0.2
1503	1	23	0.4
1504	1	18	0.1
1505	1	18	0.4
1506	1	52	0.8
1507	1	6	0.2
1508	0	133	1.7
1509	1	106	1
1510	1	110	0.9
1511	1	114	1.3
1512	1	93	0.8
1513	1	72	0.9
1514	1	83	0.6
1515	1	73	0.7
1516	1	27	0.5
1517	1	34	0.5
1518	1	35	0.3
1519	1	74	0.4
1520	1	41	0.4
1521	1	82	1.4
1522	1	27	0.3
1523	1	15	0.3
1524	1	45	0.6
1525	1	57	0.7
1526	1	36	0.5
1527	1	36	0.4
1528	1	9	0.3
1529	1	30	0.6
1530	1	33	0.6
1531	1	33	0.4
1532	1	34	0.5
1533	1	42	0.4
1534	1	29	0.7
1535	1	56	0.6
1536	1	38	0.6
1537	1	11	0.3
1538	1	46	0.4
1539	1	17	0.3
1540	1	23	0.2
1541	1	71	0.6
1542	1	23	0.4
1543	1	89	0.9
1544	1	25	0.3
1545	1	25	0.8
1546	1	32	0.6
1547	1	26	0.4
1548	1	19	0.2
1549	1	21	0.3
1550	1	37	0.3
1551	1	39	0.5
1552	1	18	0.4
1553	1	57	0.5
1554	1	40	0.5
1555	1	38	0.4
1556	1	30	0.2
1557	1	67	0.6
1558	1	35	0.4
1559	1	24	0.2
1560	1	21	0.4
1561	1	30	0.5
1562	1	14	0.2
1563	1	24	0.4
1564	1	10	0.2
1565	1	75	0.5
1566	1	43	0.4
1567	1	35	0.4
1568	1	42	0.3
1569	1	48	0.4
1570	1	62	0.6
1571	1	15	0.3
1572	1	42	0.3
1573	1	33	0.4
1574	1	74	0.6
1575	1	99	1.3
1576	1	87	1
1577	1	93	1.1
1578	1	82	0.6
1579	1	103	1.3
1580	1	28	0.6
1581	1	27	0.4
1582	1	72	0.5
1583	1	45	0.5
1584	1	112	1.1
1585	1	50	0.6
1586	1	44	0.3
1587	1	15	0.2
1588	1	33	0.3
1589	1	34	0.4
1590	1	67	1.1
1591	1	53	0.5
1592	1	43	0.8
1593	1	65	0.6
1594	1	66	0.8
1595	1	88	1.2
1596	1	58	1
1597	1	106	1
1598	1	55	0.5
1599	1	35	0.5
1600	1	42	0.6
1601	1	30	0.3
1602	1	26	0.4
1603	1	105	0.8
1604	1	94	0.7
1605	1	34	0.4
1606	1	23	0.4
1607	1	45	0.6
1608	1	25	0.4
1609	1	61	0.6
1610	1	22	0.7
1611	1	50	0.8
1612	1	34	0.4
1613	1	53	0.6
1614	1	53	0.9
1615	1	60	0.7
1616	1	23	0.5
1617	1	20	0.2
1618	1	60	0.8
1619	1	80	0.8
1620	1	62	0.9
1621	1	60	0.87
1622	1	64	0.9
1623	1	63	0.85
1624	1	39	0.54
1625	1	18	0.64
1626	1	50	0.59
1627	1	36	0.74
1628	1	32	0.51
1629	1	60	0.79
1630	1	114	1.3
1631	1	27	0.4
1632	1	36	0.7
1633	1	61	0.9
1634	1	52	1.2
1635	1	20	0.3
1636	1	20	0.5
1637	1	105	1.1
1638	1	85	0.7
1639	1	68	0.4
1640	1	68	0.6
1641	1	36	0.7
1642	1	125	1.7
1643	1	132	1.2
1644	1	150	1.6
1645	1	112	1.6
1646	1	120	1.2
1647	1	160	1.7
1648	1	64	0.8
1649	1	46	0.7
1650	1	31	0.6
1651	1	13	0.4
1652	1	24	0.2
1653	1	92	0.8
1654	1	125	1.2
1655	1	94	0.9
1656	1	92	0.9
1657	1	85	0.8
1658	1	11	0.3
1659	1	10	0.2
1660	1	7	0.1
1661	1	103	1.05
1662	1	99	1.03
1663	1	118	1.53
1664	1	15	0.6
1665	1	14	0.7
1666	1	20	0.41
1667	1	82	1.04
1668	1	103	1.38
1669	1	46	0.62
1670	1	18	0.67
1671	1	17	0.38
1672	1	15	0.38
1673	1	10	0.24
1674	1	42	0.5
1675	1	70	0.6
1676	1	35	0.6
1677	1	82	0.9
1678	1	35	0.6
1679	1	67	1
1680	1	14	0.5
1681	1	21	0.3
1682	1	38	0.6
1683	1	15	0.5
1684	1	50	0.6
1685	1	45	0.6
1686	1	25	0.5
1687	1	46	0.6
1688	1	33	0.5
1689	1	28	0.3
1690	1	23	0.2
1691	1	19	0.3
1692	1	34	0.4
1693	1	23	0.2
1694	1	46	0.4
1695	1	25	0.6
1696	1	21	0.3
1697	1	27	0.5
1698	1	39	0.5
1699	1	15	0.2
1700	1	7	0.1
1701	1	36	0.3
1702	1	37	0.4
1703	1	28	0.3
1704	1	20	0.4
1705	1	39	0.6
1706	1	55	0.5
1707	1	32	0.2
1708	1	54	0.4
1709	1	49	0.4
1710	1	5	0.2
1711	1	20	0.3
1712	1	32	0.4
1713	1	31	0.3
1714	1	16	0.4
1715	1	69	0.8
1716	1	53	0.6
1717	1	36	0.4
1718	1	35	0.4
1719	1	25	0.3
1720	1	84	1.1
1721	1	44	0.4
1722	1	39	0.4
1723	1	43	0.4
1724	1	42	0.3
1725	1	60	0.5
1726	1	38	0.5
1727	1	80	0.9
1728	1	58	0.8
1729	1	67	0.7
1730	1	32	0.4
1731	1	58	0.6
1732	1	28	0.4
1733	1	11	0.4
1734	1	101	1.1
1735	1	103	1.3
1736	1	19	0.4
1737	1	8	0.5
1738	1	96	0.9
1739	1	150	1.4
1740	1	110	1
1741	1	102	1.1
1742	1	95	0.9
1743	1	145	0.5
1744	1	23	0.3
1745	1	26	0.3
1746	1	86	0.7
1747	1	67	0.7
1748	1	32	0.4
1749	1	58	0.6
1750	1	28	0.4
1751	1	11	0.4
1752	1	101	1.1
1753	1	103	1.3
1754	1	116	1.1
1755	1	57	0.6
1756	1	67	0.9
1757	1	89	0.5
1758	1	61	0.6
1759	1	20	0.2
1760	1	33	0.3
1761	1	92	0.9
1762	1	25	0.2
1763	1	100	1
1764	1	22	0.2
1765	1	84	0.9
1766	1	47	0.4
1767	1	47	0.4
1768	1	48	0.6
1769	1	66	1.2
1770	1	33	0.4
1771	1	41	0.9
1772	1	20	0.2
1773	1	102	1.2
1774	1	21	0.4
1775	1	7	0.4
1776	1	43	0.6
1777	1	90	0.2
1778	1	16	0.8
1779	1	34	0.3
1780	1	40	0.5
1781	1	25	0.5
1782	1	43	0.6
1783	1	55	0.8
1784	1	35	0.4
1785	1	31	0.4
1786	1	56	0.6
1787	1	29	0.4
1788	1	71	0.6
1789	1	41	0.7
1790	1	86	0.5
1791	1	33	0.3
1792	1	21	0.3
1793	1	8	0.3
1794	1	19	0.2
1795	1	44	0.5
1796	1	48	0.4
1797	1	34	0.5
1798	1	42	0.3
1799	1	64	0.8
1800	1	20	0.4
1801	1	18	0.2
1802	1	37	0.6
1803	1	33	0.4
1804	1	4	0.3
1805	1	13	0.2
1806	1	11	0.2
1807	1	42	0.6
1808	1	83	0.5
1809	1	83	0.8
1810	1	67	0.6
1811	1	96	1.1
1812	1	17	0.2
1813	1	34	0.5
1814	1	82	0.9
1815	1	25	0.3
1816	1	30	0.3
1817	1	230	3.1
1818	1	62	0.6
1819	1	42	0.4
1820	1	15	0.3
1821	1	250	7.5
1822	1	13	0.3
1823	1	12	0.2
1824	1	75	0.8
1825	1	25	0.3
1826	1	55	0.9
1827	1	25	0.3
1828	1	11	0.2
1829	1	33	0.6
1830	1	36	0.5
1831	1	42	0.4
1832	1	16	0.2
1833	1	62	0.7
1834	1	34	0.4
1835	1	49	0.6
1836	1	46	0.5
1837	1	17	0.3
1838	1	67	0.6
1839	1	65	0.6
1840	1	15	0.2
1841	1	24	0.3
1842	1	25	0.3
1843	1	25	0.4
1844	1	50	0.5
1845	1	11	0.2
1846	1	30	0.3
1847	1	24	0.3
1848	1	33	0.3
1849	1	60	0.4
1850	1	14	0.2
1851	1	71	0.8
1852	1	19	0.4
1853	1	82	0.5
1854	1	170	1.2
1855	1	49	0.4
1856	1	54	0.5
1857	1	11	0.3
1858	1	12	0.2
1859	1	96	0.9
1860	1	31	0.5
1861	1	85	0.5
1862	1	18	0.4
1863	1	84	0.6
1864	1	82	0.6
1865	1	40	0.5
1866	1	26	0.4
1867	1	12	0.2
1868	1	47	0.7
1869	1	98	0.5
1870	1	62	0.5
1871	1	81	0.6
1872	1	93	0.6
1873	1	31	0.4
1874	1	67	0.6
1875	1	115	0.7
1876	1	98	0.8
1877	1	36	0.3
1878	1	43	0.5
1879	1	4	0.3
1880	1	30	0.5
1881	1	17	0.4
1882	1	19	0.5
1883	1	36	0.3
1884	1	26	0.3
1885	1	38	0.5
1886	1	31	0.3
1887	1	25	0.4
1888	1	64	0.5
1889	1	37	0.5
1890	1	30	0.5
1891	1	120	1.2
1892	1	99	0.8
1893	1	22	0.54
1894	1	57	0.4
1895	1	17	0.2
1896	1	30	0.7
1897	1	44	0.4
1898	1	46	0.7
1899	1	18	0.4
1900	1	72	0.5
1901	1	27	0.5
1902	1	29	0.4
1903	1	91	0.9
1904	1	44	0.4
1905	1	130	1.1
1906	1	120	1.2
1907	1	19	0.3
1908	1	41	0.5
1909	1	20	0.5
1910	1	23	0.4
1911	1	20	0.4
1912	1	20	0.3
1913	1	26	0.5
1914	1	45	0.5
1915	1	44	0.5
1916	1	26	0.2
1917	1	29	0.4
1918	1	84	0.8
1919	1	11	0.2
1920	1	16	0.3
1921	1	12	0.1
1922	1	8	0.3
1923	1	20	0.2
1924	1	39	0.4
1925	1	5	0.2
1926	1	3	0.2
1927	1	10	0.2
1928	1	15	0.3
1929	1	31	0.5
1930	1	70	0.8
1931	1	101	0.7
1932	1	30	0.3
1933	1	15	0.4
1934	1	29	0.4
1935	1	36	0.8
1936	1	42	0.4
1937	1	14	0.3
1938	1	6	0.2
1939	1	17	0.2
1940	1	28	0.3
1941	1	49	0.4
1942	1	85	0.6
1943	1	34	0.4
1944	1	67	0.6
1945	1	34	0.3
1946	1	59	0.8
1947	1	18	0.2
1948	1	105	0.9
1949	1	104	0.6
1950	1	90	0.6
1951	1	100	0.9
1952	1	75	0.8
1953	1	33	0.3
1954	1	34	0.2
1955	1	17	0.2
1956	1	74	0.5
1957	1	18	0.2
1958	1	34	0.4
1959	1	21	0.3
1960	1	11	0.2
1961	1	50	0.4
1962	1	5	0.1
1963	1	39	0.4
1964	1	8	0.3
1965	1	34	0.3
1966	1	23	0.3
1967	1	19	0.3
1968	1	27	0.4
1969	1	15	0.2
1970	1	54	0.5
1971	1	40	0.4
1972	1	33	0.4
1973	1	44	0.4
1974	1	35	0.3
1975	1	31	0.3
1976	1	25	0.3
1977	1	49	0.7
1978	1	35	0.4
1979	1	56	0.6
1980	1	11	0.2
1981	1	29	0.4
1982	1	50	0.5
1983	1	53	0.5
1984	1	28	0.4
1985	1	27	0.4
1986	1	38	0.3
1987	1	17	0.2
1988	1	44	0.3
1989	1	8	0.4
1990	1	27	0.4
1991	1	60	0.5
1992	1	30	0.4
1993	1	18	0.4
1994	1	25	0.4
1995	1	17	0.3
1996	1	12	0.3
1997	1	19	0.2
1998	1	69	0.8
1999	1	48	0.4
2000	1	70	0.6
2001	1	20	0.4
2002	1	62	0.5
2003	1	68	0.6
2004	1	46	0.2
2005	1	14	0.5
2006	1	25	0.3
2007	1	66	0.7
2008	1	60	0.5
2009	1	40	0.5
2010	1	45	0.4
2011	1	25	0.3
2012	1	21	0.4
2013	1	14	0.4
2014	1	15	0.2
2015	1	18	0.5
2016	1	17	0.4
2017	1	21	0.4
2018	1	43	0.7
2019	1	23	0.4
2020	1	26	0.3
2021	1	17	0.3
2022	1	17	0.3
2023	1	26	0.4
2024	1	23	0.3
2025	1	18	0.4
2026	1	19	0.3
2027	1	29	0.4
2028	1	25	0.3
2029	1	15	0.3
2030	1	26	0.3
2031	1	18	0.4
2032	1	28	0.4
2033	1	31	0.4
2034	1	25	0.2
2035	1	35	0.5
2036	1	42	0.4
2037	1	22	0.2
2038	1	71	0.6
2039	1	40	0.3
2040	1	24	0.3
2041	1	35	0.5
2042	1	29	0.2
2043	1	21	0.3
2044	1	13	0.3
2045	1	21	0.3
2046	1	65	0.6
2047	1	48	0.5
2048	1	50	0.9
2049	1	42	0.5
2050	1	66	0.7
2051	1	12	0.2
2052	1	21	0.4
2053	1	36	0.7
2054	1	20	0.4
2055	1	9	0.3
2056	1	19	0.3
2057	1	20	0.5
2058	1	11	0.5
2059	1	24	0.4
2060	1	105	0.7
2061	1	46	0.7
2062	1	99	0.9
2063	1	115	0.9
2064	1	44	0.2
2065	1	52	0.4
2066	1	147	0.9
2067	1	112	1.1
2068	1	83	0.6
2069	1	50	0.5
2070	1	42	0.4
2071	1	48	0.3
2072	1	43	0.4
2073	1	8	0.3
2074	1	9	0.3
2075	1	15	0.2
2076	1	9	0.5
2077	1	41	0.4
2078	1	29	0.3
2079	1	72	0.7
2080	1	64	0.4
2081	1	66	0.5
2082	1	38	0.3
2083	1	29	0.4
2084	1	20	0.5
2085	1	36	0.4
2086	1	70	0.6
2087	1	62	0.6
2088	1	73	0.9
2089	1	120	1.1
2090	1	22	0.4
2091	1	18	0.3
2092	1	38	0.3
2093	1	12	0.2
2094	1	71	0.8
2095	1	62	0.5
2096	1	45	0.4
2097	1	34	0.5
2098	1	25	0.3
2099	1	95	0.5
2100	1	95	0.7
2101	1	111	1
2102	1	95	0.6
2103	1	16	0.5
2104	1	59	0.68
2105	1	73	0.87
2106	1	17	0.49
2107	1	22	0.57
2108	1	65	0.82
2109	1	38	0.58
2110	1	77	0.9
2111	1	23	0.62
2112	1	52	0.56
2113	1	130	2.1
2114	1	110	0.6
2115	1	49	0.4
2116	1	35	0.7
2117	1	94	0.6
2118	1	95	1.5
2119	1	160	2.1
2120	1	45	0.5
2121	1	15	0.4
2122	1	22	0.2
2123	1	93	0.7
2124	1	22	0.6
2125	1	114	0.9
2126	1	75	0.5
2127	1	28	0.5
2128	1	100	0.8
2129	1	53	0.4
2130	1	94	0.5
2131	1	20	0.2
2132	1	30	0.4
2133	1	26	0.4
2134	1	16	0.5
2135	1	5	0.2
2136	1	80	0.8
2137	1	36	0.3
2138	1	20	0.4
2139	1	65	0.7
2140	1	107	0.9
2141	1	18	0.3
2142	1	60	0.4
2143	1	60	0.5
2144	1	67	0.7
2145	1	38	0.3
2146	1	17	0.6
2147	1	46	0.3
2148	1	35	0.2
2149	1	46	0.5
2150	1	77	0.6
2151	1	55	0.6
2152	1	32	0.3
2153	1	12	0.2
2154	1	37	0.5
2155	1	48	0.5
2156	1	25	0.3
2157	1	15	0.2
2158	1	43	0.5
2159	1	14	0.2
2160	1	25	0.4
2161	1	91	0.9
2162	1	24	0.4
2163	1	41	0.6
2164	1	18	0.3
2165	1	39	0.4
2166	1	20	0.5
2167	1	64	0.8
2168	1	47	0.4
2169	1	25	0.4
2170	1	92	0.7
2171	1	110	0.7
2172	1	29	0.5
2173	1	50	0.7
2174	1	80	0.8
2175	1	107	1.1
2176	1	84	1
2177	1	39	0.4
2178	1	40	0.4
2179	1	130	0.9
2180	1	43	0.4
2181	1	34	0.4
2182	1	86	0.9
2183	1	86	0.8
2184	1	86	0.8
2185	1	54	0.4
2186	1	44	0.4
2187	1	50	0.6
2188	1	30	0.4
2189	1	22	0.3
2190	1	38	0.4
2191	1	28	0.3
2192	1	22	0.3
2193	1	14	0.3
2194	1	12	0.3
2195	1	105	0.8
2196	1	14	0.4
2197	1	25	0.3
2198	1	56	0.5
2199	1	67	0.5
2200	1	31	0.5
2201	1	54	0.4
2202	1	52	0.6
2203	1	90	0.6
2204	1	32	0.4
2205	1	22	0.4
2206	1	28	0.5
2207	1	48	0.4
2208	1	31	0.5
2209	1	90	0.6
2210	1	76	0.5
2211	1	80	0.5
2212	1	121	0.8
2213	1	90	0.6
2214	1	23	0.5
2215	1	32	0.4
2216	1	65	0.5
2217	1	88	0.7
2218	1	46	0.4
2219	1	75	0.7
2220	1	46	0.4
2221	1	35	0.4
2222	1	55	0.5
2223	1	42	0.4
2224	1	8	0.2
2225	1	9	0.3
2226	1	15	0.4
2227	1	10	0.2
2228	1	43	0.6
2229	1	31	0.4
2230	1	25	0.4
2231	1	65	0.7
2232	1	83	0.6
2233	1	55	0.5
2234	1	25	0.3
2235	1	40	0.3
2236	1	24	0.4
2237	1	46	0.4
2238	1	15	0.2
2239	1	65	0.8
2240	1	25	0.3
2241	1	11	0.3
2242	1	25	0.4
2243	1	70	0.5
2244	1	61	0.5
2245	1	17	0.4
2246	1	14	0.5
2247	1	51	0.5
2248	1	102	0.8
2249	1	26	0.2
2250	1	23	0.5
2251	1	64	0.7
2252	1	29	0.3
2253	1	32	0.4
2254	1	79	0.8
2255	1	62	0.4
2256	1	61	0.5
2257	1	41	0.4
2258	1	45	0.5
2259	1	65	0.6
2260	1	52	0.5
2261	1	31	0.4
2262	1	41	0.4
2263	1	21	0.4
2264	1	49	0.4
2265	1	21	0.4
2266	1	18	0.6
2267	1	25	0.4
2268	1	31	0.4
2269	1	49	0.7
2270	1	7	0.4
2271	1	37	0.5
2272	1	52	0.6
2273	1	41	0.4
2274	1	41	0.6
2275	1	62	0.7
2276	1	12	0.6
2277	1	18	0.3
2278	1	25	0.4
2279	1	80	0.7
2280	1	18	0.4
2281	1	82	0.8
2282	1	55	0.5
2283	1	55	0.6
2284	1	102	0.6
2285	1	10	0.4
2286	1	29	0.5
2287	1	32	0.6
2288	1	30	0.4
2289	1	22	0.4
2290	1	69	0.8
2291	1	9	0.2
2292	1	22	0.3
2293	1	85	3.3
2294	1	38	0.4
2295	1	51	1.8
2296	1	83	3.3
2297	1	103	2.3
2298	1	105	3.1
2299	1	50	1.4
2300	1	81	2.2
2301	1	46	0.5
2302	1	61	6.7
2303	1	22	0.5
2304	1	21	0.4
2305	1	23	0.4
2306	1	36	0.6
2307	1	46	0.5
2308	1	42	0.6
2309	1	58	0.6
2310	1	70	0.7
2311	1	43	0.5
2312	1	64	0.5
2313	1	40	0.4
2314	1	26	0.7
2315	1	80	1.4
2316	1	56	1
2317	1	42	0.7
2318	1	44	0.6
2319	1	82	0.8
2320	1	55	0.6
2321	1	26	0.3
2322	1	76	0.6
2323	1	63	0.4
2324	1	27	0.5
2325	1	15	0.3
2326	1	34	0.4
2327	1	27	0.5
2328	1	7	0.4
2329	1	14	0.5
2330	1	54	0.7
2331	1	12	0.4
2332	1	12	0.4
2333	1	17	0.4
2334	1	50	0.7
2335	1	31	0.4
2336	1	66	0.8
2337	1	84	1
2338	1	31	0.9
2339	1	54	0.7
2340	1	21	0.4
2341	1	32	0.5
2342	1	7	0.5
2343	1	46	0.73
2344	1	34	0.41
2345	1	49	0.79
2346	1	42	0.49
2347	1	55	0.63
2348	1	17	0.43
2349	1	29	0.33
2350	1	59	0.56
2351	1	32	0.46
2352	1	18	0.32
2353	1	6	0.27
2354	1	36	0.29
2355	1	3	0.55
2356	1	28	0.59
2357	1	39	0.56
2358	1	32	0.46
2359	1	46	0.63
2360	1	35	0.59
2361	1	59	0.52
2362	1	38	0.53
2363	1	25	0.45
2364	1	52	0.54
2365	1	41	0.49
2366	1	16	0.44
2367	1	8	0.32
2368	1	35	0.4
2369	1	4	0.2
2370	1	83	0.6
2371	1	40	0.4
2372	1	21	0.4
2373	1	11	0.4
2374	1	101	0.4
2375	1	13	0.4
2376	1	81	0.4
2377	1	102	0.9
2378	1	27	0.6
2379	1	80	0.5
2380	1	24	0.5
2381	1	18	0.2
2382	1	98	0.8
2383	1	98	0.8
2384	1	38	0.5
2385	1	26	0.7
2386	1	68	0.6
2387	1	15	0.3
2388	1	55	0.5
2389	1	90	0.5
2390	1	22	0.9
2391	1	120	0.8
2392	1	84	0.6
2393	1	18	0.3
2394	1	115	0.8
2395	1	13	0.3
2396	1	57	0.6
2397	1	32	0.6
2398	1	11	0.5
2399	1	17	0.4
2400	1	33	0.4
2401	1	12	0.3
2402	1	37	0.5
2403	1	57	0.5
2404	1	52	0.7
2405	1	50	0.6
2406	1	7	0.2
2407	1	83	0.7
2408	1	23	0.3
2409	1	66	0.6
2410	1	100	1.5
2411	1	77	1.7
2412	1	36	0.9
2413	1	103	0.9
2414	1	26	1.1
2415	0	16	1.6
2416	0	42	1.1
2417	0	12	1.5
2418	0	120	1.4
2419	1	34	0.3
2420	0	120	1.2
2421	1	32	0.3
2422	0	32	0.7
2423	0	96	1.1
2424	1	180	3
2425	0	128	1.4
2426	1	170	4.3
2427	0	113	0.7
2428	1	160	2.2
2429	1	36	0.9
2430	0	25	1
2431	0	76	1.3
2432	0	69	1.1
2433	0	82	1.4
2434	0	30	0.8
2435	0	65	1.7
2436	0	70	1.3
2437	0	230	5.5
2438	1	43	0.7
2439	0	155	1.1
2440	1	125	4
2441	1	110	1.8
2442	1	86	2.1
2443	0	44	1.2
2444	1	100	3.4
2445	0	210	2.6
2446	0	160	2.2
2447	0	75	1.3
2448	1	40	0.3
2449	1	28	0.3
2450	1	18	0.5
2451	1	13	0.5
2452	1	39	0.3
2453	1	20	0.4
2454	1	20	0.6
2455	1	16	0.3
2456	1	10	0.4
2457	1	8	0.3
2458	1	120	1.3
2459	1	90	0.9
2460	0	160	1.8
2461	1	60	0.9
2462	1	35	0.4
2463	1	56	0.9
2464	1	30	0.5
2465	1	130	1.3
2466	1	19	0.5
2467	1	74	0.8
2468	1	95	0.8
2469	1	73	0.6
2470	1	100	1
2471	1	47	0.5
2472	1	36	0.3
2473	1	54	0.4
2474	1	51	0.4
2475	1	46	0.5
2476	1	6	0.7
2477	1	11	0.3
2478	1	18	0.2
2479	1	2	0.4
2480	1	17	0.3
2481	1	49	0.6
2482	1	37	0.4
2483	1	80	0.6
2484	1	65	0.5
2485	1	37	0.4
2486	1	28	0.6
2487	1	70	0.6
2488	1	54	0.5
2489	1	30	0.4
2490	1	73	0.9
2491	1	52	0.7
2492	1	13	0.3
2493	1	67	0.5
2494	1	64	0.6
2495	1	20	0.4
2496	1	40	0.8
2497	1	30	0.4
2498	1	38	1
2499	1	105	0.8
2500	1	34	1
2501	1	65	0.7
2502	1	85	0.7
2503	1	49	0.6
2504	1	25	0.5
2505	1	27	0.5
2506	1	70	0.7
2507	1	65	0.2
2508	1	78	0.6
2509	1	60	0.5
2510	1	65	0.7
2511	1	76	1
2512	1	58	0.5
2513	1	160	1.2
2514	1	130	0.9
2515	1	155	1
2516	1	142	1.1
2517	1	15	0.4
2518	1	31	0.4
2519	1	70	1.1
2520	1	20	0.3
2521	1	38	0.6
2522	1	31	0.6
2523	1	25	0.6
2524	1	38	0.3
2525	1	38	0.4
2526	1	40	0.4
2527	1	76	0.5
2528	1	75	0.7
2529	1	50	0.4
2530	1	53	0.5
2531	1	38	0.3
2532	1	50	0.8
2533	1	75	0.8
2534	1	125	0.9
2535	1	28	0.3
2536	1	52	0.4
2537	1	105	0.7
2538	1	125	1.1
2539	1	33	0.6
2540	1	56	0.8
2541	1	40	0.5
2542	1	45	0.8
2543	1	20	0.4
2544	1	14	0.3
2545	1	140	1.3
2546	1	75	0.8
2547	1	25	0.3
2548	1	116	1.1
2549	1	40	0.4
2550	1	115	0.8
2551	1	39	0.4
2552	1	46	0.4
2553	1	57	0.7
2554	1	33	0.5
2555	1	72	0.7
2556	1	94	1.1
2557	1	58	0.5
2558	1	21	0.4
2559	1	35	0.4
2560	1	105	1.1
2561	1	112	1.2
2562	1	125	1.2
2563	1	64	0.7
2564	1	56	0.6
2565	1	130	0.5
2566	1	45	0.5
2567	1	58	0.6
2568	1	67	0.7
2569	1	17	0.4
2570	1	15	0.4
2571	1	53	0.6
2572	1	53	0.3
2573	1	21	0.3
2574	1	115	1.3
2575	1	78	1.1
2576	1	99	0.9
2577	1	90	0.8
2578	1	105	1
2579	1	78	0.8
2580	1	25	0.4
2581	1	70	0.6
2582	1	70	0.6
2583	1	60	0.8
2584	1	40	0.6
2585	1	20	0.3
2586	1	53	0.4
2587	1	95	1.3
2588	1	31	0.6
2589	1	11	0.2
2590	1	11	0.3
2591	1	41	0.5
2592	1	70	0.6
2593	1	55	0.4
2594	1	160	0.9
2595	1	23	0.4
2596	1	46	0.4
2597	1	115	0.9
2598	1	64	0.8
2599	1	55	0.6
2600	1	23	0.7
2601	1	60	0.7
2602	1	80	0.4
2603	1	75	0.5
2604	1	90	0.6
2605	1	110	0.8
2606	1	117	1.1
2607	1	125	0.9
2608	1	72	0.9
2609	1	65	0.9
2610	1	86	0.8
2611	1	94	1.1
2612	1	57	0.4
2613	1	72	0.5
2614	1	84	0.7
2615	1	92	1
2616	1	130	0.9
2617	1	37	0.5
2618	1	21	0.4
2619	1	108	0.9
2620	1	11	0.3
2621	1	75	0.8
2622	1	45	0.4
2623	1	85	0.6
2624	1	107	1.2
2625	1	130	1.4
2626	1	116	1.1
2627	1	80	0.6
2628	1	98	0.9
2629	1	42	0.5
2630	1	94	0.8
2631	1	62	0.9
2632	1	29	0.5
2633	1	11	0.4
2634	1	41	0.6
2635	1	10	0.3
2636	1	20	0.4
2637	1	38	0.5
2638	1	16	0.2
2639	1	12	0.2
2640	1	6	0.2
