area	repeticao	data	ano	tratamento	M. albicans
CNQ	13	ES	2009	S	4
CNQ	14	ES	2009	S	0
CNQ	15	ES	2009	S	0
CNQ	16	ES	2009	S	0
CNQ	17	ES	2009	S	1
CNQ	18	ES	2009	S	0
CNQ	19	ES	2009	S	0
CNQ	20	ES	2009	S	0
CNQ	21	ES	2009	S	0
CNQ	22	ES	2009	S	0
CNQ	23	ES	2009	S	0
CNQ	24	ES	2009	S	0
CNQ	25	ES	2009	S	2
CNQ	26	ES	2009	S	0
CNQ	27	ES	2009	S	0
CNQ	28	ES	2009	S	3
CNQ	29	ES	2009	S	0
CNQ	30	ES	2009	S	0
CNQ	1	EC	2010	P1	11
CNQ	2	EC	2010	P1	6
CNQ	3	EC	2010	P1	7
CNQ	4	EC	2010	P1	18
CNQ	5	EC	2010	P1	18
CNQ	6	EC	2010	P1	29
CNQ	7	EC	2010	P1	11
CNQ	8	EC	2010	P1	10
CNQ	9	EC	2010	P1	37
CNQ	10	EC	2010	P1	24
CNQ	11	EC	2010	P1	1
CNQ	12	EC	2010	P1	3
CNQ	13	EC	2010	P1	0
CNQ	14	EC	2010	P1	5
CNQ	15	EC	2010	P1	23
CNQ	16	EC	2010	P1	2
CNQ	17	EC	2010	P1	0
CNQ	18	EC	2010	P1	8
CNQ	19	EC	2010	P1	1
CNQ	20	EC	2010	P1	12
CNQ	21	EC	2010	P1	25
CNQ	22	EC	2010	P1	0
CNQ	23	EC	2010	P1	64
CNQ	24	EC	2010	P1	2
CNQ	25	EC	2010	P1	18
CNQ	26	EC	2010	P1	24
CNQ	27	EC	2010	P1	2
CNQ	28	EC	2010	P1	13
CNQ	29	EC	2010	P1	3
CNQ	30	EC	2010	P1	76
CNQ	1	EC	2010	P2	10
CNQ	2	EC	2010	P2	9
CNQ	3	EC	2010	P2	4
CNQ	4	EC	2010	P2	21
CNQ	5	EC	2010	P2	10
CNQ	6	EC	2010	P2	28
CNQ	7	EC	2010	P2	7
CNQ	8	EC	2010	P2	10
CNQ	9	EC	2010	P2	17
CNQ	10	EC	2010	P2	14
CNQ	11	EC	2010	P2	2
CNQ	12	EC	2010	P2	5
CNQ	13	EC	2010	P2	6
CNQ	14	EC	2010	P2	2
CNQ	15	EC	2010	P2	11
CNQ	16	EC	2010	P2	4
CNQ	17	EC	2010	P2	3
CNQ	18	EC	2010	P2	8
CNQ	19	EC	2010	P2	1
CNQ	20	EC	2010	P2	5
CNQ	21	EC	2010	P2	14
CNQ	22	EC	2010	P2	0
CNQ	23	EC	2010	P2	47
CNQ	24	EC	2010	P2	0
CNQ	25	EC	2010	P2	20
CNQ	26	EC	2010	P2	30
CNQ	27	EC	2010	P2	1
CNQ	28	EC	2010	P2	11
CNQ	29	EC	2010	P2	5
CNQ	30	EC	2010	P2	37
CNQ	1	EC	2010	S	0
CNQ	2	EC	2010	S	0
CNQ	3	EC	2010	S	0
CNQ	4	EC	2010	S	0
CNQ	5	EC	2010	S	0
CNQ	6	EC	2010	S	0
CNQ	7	EC	2010	S	0
CNQ	8	EC	2010	S	0
CNQ	9	EC	2010	S	1
CNQ	10	EC	2010	S	0
CNQ	11	EC	2010	S	0
CNQ	12	EC	2010	S	0
CNQ	13	EC	2010	S	0
CNQ	14	EC	2010	S	0
CNQ	15	EC	2010	S	0
CNQ	16	EC	2010	S	0
CNQ	17	EC	2010	S	0
CNQ	18	EC	2010	S	1
CNQ	19	EC	2010	S	0
CNQ	20	EC	2010	S	0
CNQ	21	EC	2010	S	0
CNQ	22	EC	2010	S	0
CNQ	23	EC	2010	S	8
CNQ	24	EC	2010	S	0
CNQ	25	EC	2010	S	0
CNQ	26	EC	2010	S	0
CNQ	27	EC	2010	S	1
CNQ	28	EC	2010	S	0
CNQ	29	EC	2010	S	0
CNQ	30	EC	2010	S	1
CNQ	1	ES	2010	P1	10
CNQ	2	ES	2010	P1	2
CNQ	3	ES	2010	P1	38
CNQ	4	ES	2010	P1	48
CNQ	5	ES	2010	P1	39
CNQ	6	ES	2010	P1	12
CNQ	7	ES	2010	P1	47
CNQ	8	ES	2010	P1	7
CNQ	9	ES	2010	P1	21
CNQ	10	ES	2010	P1	9
CNQ	11	ES	2010	P1	33
CNQ	12	ES	2010	P1	39
CNQ	13	ES	2010	P1	24
CNQ	14	ES	2010	P1	12
CNQ	15	ES	2010	P1	2
CNQ	16	ES	2010	P1	17
CNQ	17	ES	2010	P1	12
CNQ	18	ES	2010	P1	14
CNQ	19	ES	2010	P1	1
CNQ	20	ES	2010	P1	1
CNQ	21	ES	2010	P1	3
CNQ	22	ES	2010	P1	23
CNQ	23	ES	2010	P1	38
CNQ	24	ES	2010	P1	14
CNQ	25	ES	2010	P1	7
CNQ	26	ES	2010	P1	5
CNQ	27	ES	2010	P1	5
CNQ	28	ES	2010	P1	52
CNQ	29	ES	2010	P1	0
CNQ	30	ES	2010	P1	55
CNQ	1	ES	2010	P2	8
CNQ	2	ES	2010	P2	4
CNQ	3	ES	2010	P2	43
CNQ	4	ES	2010	P2	28
CNQ	5	ES	2010	P2	14
CNQ	6	ES	2010	P2	5
CNQ	7	ES	2010	P2	21
CNQ	8	ES	2010	P2	10
CNQ	9	ES	2010	P2	16
CNQ	10	ES	2010	P2	11
CNQ	11	ES	2010	P2	12
CNQ	12	ES	2010	P2	42
CNQ	13	ES	2010	P2	25
CNQ	14	ES	2010	P2	6
CNQ	15	ES	2010	P2	2
CNQ	16	ES	2010	P2	9
CNQ	17	ES	2010	P2	3
CNQ	18	ES	2010	P2	4
CNQ	19	ES	2010	P2	0
CNQ	20	ES	2010	P2	2
CNQ	21	ES	2010	P2	2
CNQ	22	ES	2010	P2	7
CNQ	23	ES	2010	P2	11
CNQ	24	ES	2010	P2	6
CNQ	25	ES	2010	P2	1
CNQ	26	ES	2010	P2	3
CNQ	27	ES	2010	P2	0
CNQ	28	ES	2010	P2	17
CNQ	29	ES	2010	P2	2
CNQ	30	ES	2010	P2	12
CNQ	1	ES	2010	S	0
CNQ	2	ES	2010	S	0
CNQ	3	ES	2010	S	1
CNQ	4	ES	2010	S	1
CNQ	5	ES	2010	S	0
CNQ	6	ES	2010	S	0
CNQ	7	ES	2010	S	4
CNQ	8	ES	2010	S	0
CNQ	9	ES	2010	S	1
CNQ	10	ES	2010	S	0
CNQ	11	ES	2010	S	1
CNQ	12	ES	2010	S	0
CNQ	13	ES	2010	S	2
CNQ	14	ES	2010	S	0
CNQ	15	ES	2010	S	0
CNQ	16	ES	2010	S	0
CNQ	17	ES	2010	S	1
CNQ	18	ES	2010	S	0
CNQ	19	ES	2010	S	0
CNQ	20	ES	2010	S	0
CNQ	21	ES	2010	S	0
CNQ	22	ES	2010	S	1
CNQ	23	ES	2010	S	0
CNQ	24	ES	2010	S	2
CNQ	25	ES	2010	S	0
CNQ	26	ES	2010	S	0
CNQ	27	ES	2010	S	0
CNQ	28	ES	2010	S	1
CNQ	29	ES	2010	S	0
CNQ	30	ES	2010	S	8
CQ	1	EC	2009	P1	1
CQ	2	EC	2009	P1	42
CQ	3	EC	2009	P1	4
CQ	4	EC	2009	P1	8
CQ	5	EC	2009	P1	2
CQ	6	EC	2009	P1	0
CQ	7	EC	2009	P1	1
CQ	8	EC	2009	P1	7
CQ	9	EC	2009	P1	10
CQ	10	EC	2009	P1	15
CQ	11	EC	2009	P1	4
CQ	12	EC	2009	P1	54
CQ	13	EC	2009	P1	2
CQ	14	EC	2009	P1	3
CQ	15	EC	2009	P1	1
CQ	16	EC	2009	P1	0
CQ	17	EC	2009	P1	1
CQ	18	EC	2009	P1	2
CQ	19	EC	2009	P1	11
CQ	20	EC	2009	P1	5
CQ	21	EC	2009	P1	1
CQ	22	EC	2009	P1	2
CQ	23	EC	2009	P1	1
CQ	24	EC	2009	P1	6
CQ	25	EC	2009	P1	4
CQ	26	EC	2009	P1	1
CQ	27	EC	2009	P1	1
CQ	28	EC	2009	P1	1
CQ	29	EC	2009	P1	6
CQ	30	EC	2009	P1	3
CQ	1	EC	2009	P2	5
CQ	2	EC	2009	P2	16
CQ	3	EC	2009	P2	6
CQ	4	EC	2009	P2	6
CQ	5	EC	2009	P2	1
CQ	6	EC	2009	P2	0
CQ	7	EC	2009	P2	0
CQ	8	EC	2009	P2	4
CQ	9	EC	2009	P2	10
CQ	10	EC	2009	P2	5
CQ	11	EC	2009	P2	4
CQ	12	EC	2009	P2	43
CQ	13	EC	2009	P2	0
CQ	14	EC	2009	P2	2
CQ	15	EC	2009	P2	4
CQ	16	EC	2009	P2	0
CQ	17	EC	2009	P2	1
CQ	18	EC	2009	P2	0
CQ	19	EC	2009	P2	12
CQ	20	EC	2009	P2	3
CQ	21	EC	2009	P2	3
CQ	22	EC	2009	P2	5
CQ	23	EC	2009	P2	6
CQ	24	EC	2009	P2	9
CQ	25	EC	2009	P2	17
CQ	26	EC	2009	P2	2
CQ	27	EC	2009	P2	1
CQ	28	EC	2009	P2	2
CQ	29	EC	2009	P2	4
CQ	30	EC	2009	P2	7
CQ	1	EC	2009	S	0
CQ	2	EC	2009	S	0
CQ	3	EC	2009	S	0
CQ	4	EC	2009	S	0
CQ	5	EC	2009	S	0
CQ	6	EC	2009	S	0
CQ	7	EC	2009	S	0
CQ	8	EC	2009	S	0
CQ	9	EC	2009	S	0
CQ	10	EC	2009	S	0
CQ	11	EC	2009	S	0
CQ	12	EC	2009	S	0
CQ	13	EC	2009	S	0
CQ	14	EC	2009	S	0
CQ	15	EC	2009	S	0
CQ	16	EC	2009	S	1
CQ	17	EC	2009	S	0
CQ	18	EC	2009	S	0
CQ	19	EC	2009	S	0
CQ	20	EC	2009	S	0
CQ	21	EC	2009	S	1
CQ	22	EC	2009	S	2
CQ	23	EC	2009	S	0
CQ	24	EC	2009	S	0
CQ	25	EC	2009	S	0
CQ	26	EC	2009	S	0
CQ	27	EC	2009	S	0
CQ	28	EC	2009	S	0
CQ	29	EC	2009	S	0
CQ	30	EC	2009	S	0
CQ	1	ES	2009	P1	5
CQ	2	ES	2009	P1	1
CQ	3	ES	2009	P1	4
CQ	4	ES	2009	P1	1
CQ	5	ES	2009	P1	4
CQ	6	ES	2009	P1	2
CQ	7	ES	2009	P1	2
CQ	8	ES	2009	P1	22
CQ	9	ES	2009	P1	6
CQ	10	ES	2009	P1	10
CQ	11	ES	2009	P1	23
CQ	12	ES	2009	P1	0
CQ	13	ES	2009	P1	6
CQ	14	ES	2009	P1	1
CQ	15	ES	2009	P1	2
CQ	16	ES	2009	P1	13
CQ	17	ES	2009	P1	2
CQ	18	ES	2009	P1	4
CQ	19	ES	2009	P1	1
CQ	20	ES	2009	P1	12
CQ	21	ES	2009	P1	0
CQ	22	ES	2009	P1	10
CQ	23	ES	2009	P1	1
CQ	24	ES	2009	P1	8
CQ	25	ES	2009	P1	1
CQ	26	ES	2009	P1	1
CQ	27	ES	2009	P1	4
CQ	28	ES	2009	P1	6
CQ	29	ES	2009	P1	36
CQ	30	ES	2009	P1	1
CQ	1	ES	2009	P2	5
CQ	2	ES	2009	P2	6
CQ	3	ES	2009	P2	0
CQ	4	ES	2009	P2	0
CQ	5	ES	2009	P2	1
CQ	6	ES	2009	P2	1
CQ	7	ES	2009	P2	5
CQ	8	ES	2009	P2	26
CQ	9	ES	2009	P2	8
CQ	10	ES	2009	P2	9
CQ	11	ES	2009	P2	4
CQ	12	ES	2009	P2	1
CQ	13	ES	2009	P2	8
CQ	14	ES	2009	P2	0
CQ	15	ES	2009	P2	7
CQ	16	ES	2009	P2	2
CQ	17	ES	2009	P2	2
CQ	18	ES	2009	P2	2
CQ	19	ES	2009	P2	1
CQ	20	ES	2009	p2	11
CQ	21	ES	2009	P2	2
CQ	22	ES	2009	P2	4
CQ	23	ES	2009	P2	1
CQ	24	ES	2009	P2	2
CQ	25	ES	2009	P2	0
CQ	26	ES	2009	P2	2
CQ	27	ES	2009	P2	10
CQ	28	ES	2009	P2	9
CQ	29	ES	2009	P2	5
CQ	30	ES	2009	P2	2
CQ	1	ES	2009	S	0
CQ	2	ES	2009	S	0
CQ	3	ES	2009	S	0
CQ	4	ES	2009	S	0
CQ	5	ES	2009	S	0
CQ	6	ES	2009	S	0
CQ	7	ES	2009	S	0
CQ	8	ES	2009	S	0
CQ	9	ES	2009	S	0
CQ	10	ES	2009	S	0
CQ	11	ES	2009	S	0
CQ	12	ES	2009	S	0
CQ	13	ES	2009	S	1
CQ	14	ES	2009	S	0
CQ	15	ES	2009	S	0
CQ	16	ES	2009	S	0
CQ	17	ES	2009	S	0
CQ	18	ES	2009	S	0
CQ	19	ES	2009	S	0
CQ	20	ES	2009	S	0
CQ	21	ES	2009	S	0
CQ	22	ES	2009	S	0
CQ	23	ES	2009	S	0
CQ	24	ES	2009	S	0
CQ	25	ES	2009	S	0
CQ	26	ES	2009	S	0
CQ	27	ES	2009	S	0
CQ	28	ES	2009	S	0
CQ	29	ES	2009	S	0
CQ	30	ES	2009	S	0
CQ	1	EC	2010	P1	7
CQ	2	EC	2010	P1	0
CQ	3	EC	2010	P1	1
CQ	4	EC	2010	P1	11
CQ	5	EC	2010	P1	15
CQ	6	EC	2010	P1	1
CQ	7	EC	2010	P1	7
CQ	8	EC	2010	P1	0
CQ	9	EC	2010	P1	8
CQ	10	EC	2010	P1	5
CQ	11	EC	2010	P1	1
CQ	12	EC	2010	P1	1
CQ	13	EC	2010	P1	1
CQ	14	EC	2010	P1	0
CQ	15	EC	2010	P1	0
CQ	16	EC	2010	P1	8
CQ	17	EC	2010	P1	73
CQ	18	EC	2010	P1	2
CQ	19	EC	2010	P1	3
CQ	20	EC	2010	P1	5
CQ	21	EC	2010	P1	0
CQ	22	EC	2010	P1	0
CQ	23	EC	2010	P1	0
CQ	24	EC	2010	P1	3
CQ	25	EC	2010	P1	3
CQ	26	EC	2010	P1	1
CQ	27	EC	2010	P1	11
CQ	28	EC	2010	P1	3
CQ	29	EC	2010	P1	7
CQ	30	EC	2010	P1	8
CQ	1	EC	2010	P2	9
CQ	2	EC	2010	P2	1
CQ	3	EC	2010	P2	0
CQ	4	EC	2010	P2	7
CQ	5	EC	2010	P2	10
CQ	6	EC	2010	P2	1
CQ	7	EC	2010	P2	10
CQ	8	EC	2010	P2	3
CQ	9	EC	2010	P2	19
CQ	10	EC	2010	P2	3
CQ	11	EC	2010	P2	0
CQ	12	EC	2010	P2	3
CQ	13	EC	2010	P2	1
CQ	14	EC	2010	P2	0
CQ	15	EC	2010	P2	0
CQ	16	EC	2010	P2	9
CQ	17	EC	2010	P2	29
CQ	18	EC	2010	P2	15
CQ	19	EC	2010	P2	4
CQ	20	EC	2010	P2	4
CQ	21	EC	2010	P2	1
CQ	22	EC	2010	P2	2
CQ	23	EC	2010	P2	1
CQ	24	EC	2010	P2	6
CQ	25	EC	2010	P2	3
CQ	26	EC	2010	P2	3
CQ	27	EC	2010	P2	9
CQ	28	EC	2010	P2	1
CQ	29	EC	2010	P2	9
CQ	30	EC	2010	P2	6
CQ	1	EC	2010	S	0
CQ	2	EC	2010	S	0
CQ	3	EC	2010	S	0
CQ	4	EC	2010	S	0
CQ	5	EC	2010	S	8
CQ	6	EC	2010	S	0
CQ	7	EC	2010	S	0
CQ	8	EC	2010	S	0
CQ	9	EC	2010	S	0
CQ	10	EC	2010	S	0
CQ	11	EC	2010	S	0
CQ	12	EC	2010	S	0
CQ	13	EC	2010	S	0
CQ	14	EC	2010	S	0
CQ	15	EC	2010	S	0
CQ	16	EC	2010	S	0
CQ	17	EC	2010	S	0
CQ	18	EC	2010	S	0
CQ	19	EC	2010	S	0
CQ	20	EC	2010	S	0
CQ	21	EC	2010	S	0
CQ	22	EC	2010	S	0
CQ	23	EC	2010	S	0
CQ	24	EC	2010	S	0
CQ	25	EC	2010	S	0
CQ	26	EC	2010	S	0
CQ	27	EC	2010	S	0
CQ	28	EC	2010	S	0
CQ	29	EC	2010	S	0
CQ	30	EC	2010	S	0
CQ	1	ES	2010	P1	2
CQ	2	ES	2010	P1	2
CQ	3	ES	2010	P1	14
CQ	4	ES	2010	P1	13
CQ	5	ES	2010	P1	5
CQ	6	ES	2010	P1	43
CQ	7	ES	2010	P1	38
CQ	8	ES	2010	P1	5
CQ	9	ES	2010	P1	3
CQ	10	ES	2010	P1	3
CQ	11	ES	2010	P1	5
CQ	12	ES	2010	P1	5
CQ	13	ES	2010	P1	11
CQ	14	ES	2010	P1	10
CQ	15	ES	2010	P1	1
CQ	16	ES	2010	P1	8
CQ	17	ES	2010	P1	0
CQ	18	ES	2010	P1	20
CQ	19	ES	2010	P1	15
CQ	20	ES	2010	P1	6
CQ	21	ES	2010	P1	3
CQ	22	ES	2010	P1	1
CQ	23	ES	2010	P1	2
CQ	24	ES	2010	P1	3
CQ	25	ES	2010	P1	0
CQ	26	ES	2010	P1	5
CQ	27	ES	2010	P1	2
CQ	28	ES	2010	P1	4
CQ	29	ES	2010	P1	1
CQ	30	ES	2010	P1	11
CQ	1	ES	2010	P2	2
CQ	2	ES	2010	P2	4
CQ	3	ES	2010	P2	16
CQ	4	ES	2010	P2	13
CQ	5	ES	2010	P2	5
CQ	6	ES	2010	P2	37
CQ	7	ES	2010	P2	31
CQ	8	ES	2010	P2	5
CQ	9	ES	2010	P2	3
CQ	10	ES	2010	P2	3
CQ	11	ES	2010	P2	5
CQ	12	ES	2010	P2	5
CQ	13	ES	2010	P2	10
CQ	14	ES	2010	P2	9
CQ	15	ES	2010	P2	2
CQ	16	ES	2010	P2	9
CQ	17	ES	2010	P2	0
CQ	18	ES	2010	P2	19
CQ	19	ES	2010	P2	15
CQ	20	ES	2010	P2	7
CQ	21	ES	2010	P2	3
CQ	22	ES	2010	P2	1
CQ	23	ES	2010	P2	3
CQ	24	ES	2010	P2	3
CQ	25	ES	2010	P2	0
CQ	26	ES	2010	P2	5
CQ	27	ES	2010	P2	2
CQ	28	ES	2010	P2	3
CQ	29	ES	2010	P2	1
CQ	30	ES	2010	P2	8
CQ	1	ES	2010	S	4
CQ	2	ES	2010	S	3
CQ	3	ES	2010	S	10
CQ	4	ES	2010	S	13
CQ	5	ES	2010	S	5
CQ	6	ES	2010	S	36
CQ	7	ES	2010	S	25
CQ	8	ES	2010	S	6
CQ	9	ES	2010	S	10
CQ	10	ES	2010	S	15
CQ	11	ES	2010	S	7
CQ	12	ES	2010	S	5
CQ	13	ES	2010	S	3
CQ	14	ES	2010	S	4
CQ	15	ES	2010	S	4
CQ	16	ES	2010	S	3
CQ	17	ES	2010	S	0
CQ	18	ES	2010	S	11
CQ	19	ES	2010	S	4
CQ	20	ES	2010	S	3
CQ	21	ES	2010	S	3
CQ	22	ES	2010	S	0
CQ	23	ES	2010	S	1
CQ	24	ES	2010	S	0
CQ	25	ES	2010	S	1
CQ	26	ES	2010	S	4
CQ	27	ES	2010	S	0
CQ	28	ES	2010	S	0
CQ	29	ES	2010	S	0
CQ	30	ES	2010	S	8
