Status,Desenvolvimento,PeriodoDeAtividade,Desova,AltitudeMaxima
0,2,2,80,0
0,2,2,85.5,285
0,2,NA,31.2,965
1,2,2,38,50
0,2,2,42.3,50
1,2,2,48,700
0,2,2,32.5,800
0,NA,NA,32.35,200
0,2,2,29,NA
0,2,2,35.05,1200
0,2,2,30.5 ,1000
0,2,2,35.65,800
0,2,2,64.75,900
0,2,2,65.4,1000
0,2,2,56.3,1000
0,2,2,57.68,500
0,2,2,56.25,1000
0,2,2,37.1,960
0,2,2,43,1000
0,2,3,24.1,1200
0,2,1,22,900
0,2,3,23.75,800
1,2,NA,22,600
0,2,3,29,1800
0,2,3,36.75,2200
1,NA,NA,NA,0
0,2,2,22,700
0,2,1,21.9,900
0,2,1,31.55,2000
0,2,1,39.85,1200
0,2,1,33,1200
0,NA,NA,34.75,1200
0,2,1,39.5,1100
0,2,1,38.5,1500
0,2,1,36.65,1000
0,2,1,24.2,2000
0,2,1,39.35,1000
0,2,1,27.725,900
0,2,1,24.05,NA
0,2,1,27.8,NA
0,2,1,32.4,850
0,2,1,31.29,1200
0,2,1,25.5,700
0,2,1,38,900
0,2,1,87.6,1500
0,2,1,88.6,900
0,2,1,107.05,900
0,2,2,15.5,650
0,2,2,17,800
0,2,2,21.4,760
0,2,2,23,850
1,NA,NA,20.75,2200
0,2,2,17.5,1000
0,2,2,29.59,2000
0,2,2,24.1,200
0,2,2,29,NA
0,2,2,26.83,1200
0,2,2,22,2350
0,2,2,25,1200
0,2,2,23,30
0,2,2,25.2,700
0,2,2,21.1,50
0,2,2,16.45,800
1,2,1,24.65,650
0,2,2,31.3,1200
0,NA,NA,22.95,1300
1,2,2,20.35,0
0,2,2,29.95,NA
1,2,2,43.8,1375
0,2,2,23.2,35
0,2,2,19.45,750
0,2,2,19.2,0
0,2,2,18.05,1200
0,2,2,21,500
0,2,2,19.75,800
0,2,2,26,500
0,2,3,15,1000
0,2,2,19,900
0,2,2,18.8,1100
0,2,2,25.1,1700
0,2,3,21.8,900
0,2,3,19.05,1200
0,2,2,17.85,800
0,2,2,21.195,0
0,2,2,36.25,1200
0,2,2,46.8,1700
0,2,2,46.5,2000
0,2,2,45,800
0,2,NA,NA,0
0,2,2,47,1000
0,2,2,54.45,1800
0,2,2,41,900
0,2,2,37,1200
0,2,2,43,900
0,2,2,51,NA
0,2,2,99.555,1400
0,2,2,90,790
0,2,2,52,450
0,2,2,39.15,900
0,2,2,34.3,1000
0,2,2,127,800
0,2,2,152.5,1000
0,2,2,145.45,NA
0,1,2,22,1100
0,2,2,41.3,500
0,2,2,42,NA
0,2,2,31.4,60
0,2,2,18,200
1,2,NA,23.05,0
0,2,2,23.5,40
0,2,2,15.6,60
0,2,2,16.9,120
0,2,3,20.9,800
0,2,2,16.65,1227
0,2,2,22.75,550
0,2,2,42.33,60
0,2,2,27.2,200
0,2,2,25.2,675
0,2,2,85,600
0,2,2,43.85,2000
0,2,2,37.65,0
0,2,2,60.5,1035
0,2,2,55.75,NA
0,2,2,26.55,NA
0,2,2,39.65,NA
0,2,2,51,NA
0,2,3,44.5,NA
0,2,2,11.3,1000
