Transect	Plot	x	y	PropBurntInd	PropBurntStems	BAlive	Nindlive	BAwoody	BAnonwoody	BAdead	NindAd	NindAdBr	NindBr	NindM	NindPl	NindNL
3	11	52.5	52.5	1	1	36.89015173	13	0	36.89015173	82.00342224	0	0	13	1	0	13
3	12	52.5	57.5	1	1	8.765043504	3	0	8.765043504	4.453207586	0	0	3	0	0	3
3	14	52.5	67.5	1	1	2.3090706	1	0	2.3090706	2.269800692	0	0	1	0	0	1
3	15	52.5	72.5	1	1	16.13207828	4	0	16.13207828	16.67400301	0	0	4	0	0	4
3	17	52.5	82.5	1	1	11.01913623	5	0	11.01913623	38.85364714	0	0	5	0	0	5
3	18	52.5	87.5	1	1	30.2770992	6	0	30.2770992	76.62344482	0	0	6	0	0	6
3	19	52.5	92.5	1	1	3.282964323	4	0	3.282964323	4.696681017	0	0	4	0	0	4
3	20	52.5	97.5	1	1	54.12178744	12	28.22720999	25.89457745	45.86725274	0	1	11	0	0	11
4	1	27.5	2.5	1	0.8461538462	52.90442029	15	40.42444347	12.47997682	88.85209423	0	1	14	1	0	14
4	2	27.5	7.5	1	1	17.95420202	14	0	17.95420202	127.9413608	0	0	14	1	0	14
4	3	27.5	12.5	0.84375	0.7833333333	75.885170545	32	54.23959716	21.645573385	65.44722896	5	1	25	1	1	26
4	4	27.5	17.5	0.95	0.9333333333	49.762827635	20	42.584288422	7.178539213	63.42875568	6	1	13	0	0	13
4	5	27.5	22.5	1	1	3.196570525	2	0	3.196570525	10.28086196	0	0	2	0	0	2
4	6	27.5	27.5	0.625	0.2222222222	13.720905914	8	9.888162877	3.832743037	11.1605079	3	1	4	0	0	4
4	7	27.5	32.5	0.6111111111	0.2419354839	73.191254847	18	70.654418779	2.536836068	18.6453524	13	4	1	0	0	1
4	8	27.5	37.5	1	1	71.612604543	5	61.975769078	9.636835465	28.10154629	2	1	2	0	0	2
4	9	27.5	42.5	1	1	5.733406593	6	0	5.733406593	10.16305223	0	0	6	0	0	6
4	10	27.5	47.5	1	1	3.204424507	3	0	3.204424507	5.866924281	0	0	3	0	0	3
4	11	27.5	52.5	0.8	0.8888888889	11.67887069	5	4.523893421	7.154977269	12.72345025	1	0	4	0	0	4
4	12	27.5	57.5	0.875	0.8888888889	9.197012494	7	0.196349541	9.000662953	28.13296221	1	0	6	1	0	6
4	13	27.5	62.5	0.5	0	84.524550343	13	83.45640884	1.068141503	0	3	0	3	0	7	10
4	14	27.5	67.5	0.9444444444	0.5806451613	182.212373918	19	177.020892058	5.19148186	18.18196748	3	3	12	0	1	13
4	15	27.5	72.5	1	1	8.929977118	4	0	8.929977118	19.29723287	0	0	4	0	0	4
4	16	27.5	77.5	1	1	6.809402077	3	0	6.809402077	16.92533042	0	0	3	0	0	3
4	17	27.5	82.5	1	1	15.857188923	10	4.099778413	11.75741051	26.99413488	0	2	8	1	0	8
4	18	27.5	87.5	0.9090909091	0.6896551724	43.09479723	11	24.1195776	18.97521963	32.55475387	2	0	9	0	0	9
4	19	27.5	92.5	1	1	17.23948969	13	0	17.23948969	33.45796176	0	0	13	0	0	13
4	20	27.5	97.5	1	1	21.24502032	13	0	21.24502032	31.35309468	0	0	13	0	0	13
5	1	2.5	2.5	1	1	0.455530935	3	0	0.455530935	0.353429174	0	0	3	0	0	3
5	2	2.5	7.5	0.8461538462	0.7647058824	11.43539726	13	8.443030257	2.992367003	5.419247327	5	0	8	0	0	8
5	3	2.5	12.5	0.7179487179	0.328125	161.988371227	38	159.60076081	2.387610417	11.82809634	19	6	12	2	1	13
5	4	2.5	17.5	0.8461538462	0.8666666667	13.31249887	12	11.160507902	2.151990968	22.04612645	4	0	8	1	0	8
5	5	2.5	22.5	0.8666666667	0.8666666667	19.760617792	15	14.302100556	5.458517236	18.90453379	5	0	10	0	0	10
5	6	2.5	27.5	1	1	12.44353434	15	0	12.44353434	61.44169832	0	0	15	0	0	15
5	7	2.5	32.5	1	1	7.414158662	9	0	7.414158662	32.20917868	0	0	9	0	0	9
5	8	2.5	37.5	1	1	33.81924492	8	21.23716634	12.58207858	38.15464278	0	1	7	1	0	7
5	9	2.5	42.5	1	1	7.029313562	5	0	7.029313562	48.89888965	0	0	5	1	0	5
5	10	2.5	47.5	0.76	0.6170212766	46.974664157	25	38.33528436	8.639379797	13.21825109	12	3	10	0	0	10
5	11	2.5	52.5	0.8571428571	0.9230769231	29.735174466	7	23.208515728	6.526658738	31.28240885	2	1	4	0	0	4
5	12	2.5	57.5	1	1	11.2469017	12	0	11.2469017	49.46437633	0	0	12	0	0	12
5	13	2.5	62.5	0.8888888889	0.8709677419	47.5087349	9	30.67765226	16.83108264	68.23539244	3	0	6	0	0	6
5	14	2.5	67.5	1	1	56.40729609	18	40.8799744	15.52732169	81.85419659	2	1	15	1	0	15
5	15	2.5	72.5	1	1	16.74468884	17	0	16.74468884	31.30597079	0	0	17	0	0	17
5	16	2.5	77.5	0.8	0.6	12.330751165	5	6.448118921	5.882632244	12.91979979	1	0	4	0	0	4
5	17	2.5	82.5	1	1	12.33075117	9	0	12.33075117	39.86681077	0	0	9	0	0	9
5	18	2.5	87.5	1	1	61.29247267	15	0	61.29247267	66.2404811	0	0	15	0	0	15
5	19	2.5	92.5	1	1	18.03274183	10	0	18.03274183	30.48130272	0	0	10	0	0	10
5	20	2.5	97.5	1	1	25.50973235	15	0	25.50973235	54.07466355	0	0	15	0	0	15
